Default List,Default Card,Redesigned List,Redesigned Card,Carousel
0.5,0.5,1,1,1
0.071428571,0.333333333,1,1,1
1,0.5,1,0.333333333,1
0.25,0.5,1,1,1
0.1,1,1,1,1
0.5,1,1,1,1
1,1,1,1,1
0.333333333,0.2,1,1,1
1,0.5,1,1,1
0.142857143,1,1,1,1
1,1,1,1,1
1,1,0.333333333,1,1
0.25,0.25,1,1,0.5
0.111111111,0.5,1,1,1
0.2,0.5,1,0.2,1
0.142857143,0.25,0.5,0.027777778,1
1,0.5,0.25,0.5,1
0.333333333,0.333333333,0.5,1,1
0.012987013,0.066666667,0.333333333,1,1
0.014705882,0.25,0.333333333,1,1
0.047619048,0.058823529,0.5,0.5,0.5
0.2,0.142857143,0.25,1,1
1,1,1,1,1
0.5,1,1,1,1
1,0.5,1,1,1
0.111111111,0.5,1,0.25,1
1,1,1,1,1
1,1,0.5,1,1
0.125,0.5,1,1,1
0.071428571,0.25,1,1,1
1,1,1,1,1
0.25,1,1,1,1
1,1,1,1,1
1,1,1,0.5,1
0.034482759,0.071428571,0.5,1,0.5
0.083333333,0.5,1,1,1
0.071428571,0.055555556,1,0.333333333,1
0.2,0.5,1,1,1
1,1,1,1,1
0.333333333,1,1,1,0.333333333
1,1,1,1,1
0.333333333,1,1,1,1
