DLTask1,DCTask1,RLTask1,RCTask1,CTask1
4585 milliseconds,9220 milliseconds,1481 milliseconds,6057 milliseconds,6829 milliseconds
1247 milliseconds,9587 milliseconds,4507 milliseconds,7369 milliseconds,18039 milliseconds
112068 milliseconds,4566 milliseconds,4184 milliseconds,5554 milliseconds,3156 milliseconds
6991 milliseconds,18855 milliseconds,4483 milliseconds,5954 milliseconds,5923 milliseconds
8818 milliseconds,24423 milliseconds,4818 milliseconds,12067 milliseconds,11761 milliseconds
14566 milliseconds,6751 milliseconds,1830 milliseconds,12981 milliseconds,15037 milliseconds 
22405 milliseconds,195647 milliseconds,5024 milliseconds,4783 milliseconds,13268 milliseconds
13782 milliseconds,8398 milliseconds,3128 milliseconds,5227 milliseconds,2326 milliseconds
2241 milliseconds,5256 milliseconds,9960 milliseconds,6453 milliseconds,3642 milliseconds
159866 milliseconds,34348 milliseconds,12233 milliseconds,10260 milliseconds,8386 milliseconds
64355 milliseconds,32844 milliseconds,4830 milliseconds,11648 milliseconds,5572 milliseconds
12813 milliseconds,3599 milliseconds,2853 milliseconds,7591 milliseconds,3839 milliseconds
3279 milliseconds,7591 milliseconds,4308 milliseconds,3648 milliseconds,6375 milliseconds
