Default List,Default Card,Redesigned List,Redesigned Card,Carousel
4585 milliseconds,9220 milliseconds,1481 milliseconds,6057 milliseconds,6829 milliseconds
1247 milliseconds,9587 milliseconds,4507 milliseconds,7369 milliseconds,18039 milliseconds
112068 milliseconds,4566 milliseconds,4184 milliseconds,5554 milliseconds,3156 milliseconds
6991 milliseconds,18855 milliseconds,4483 milliseconds,5954 milliseconds,5923 milliseconds
8818 milliseconds,24423 milliseconds,4818 milliseconds,12067 milliseconds,11761 milliseconds
14566 milliseconds,6751 milliseconds,1830 milliseconds,12981 milliseconds,15037 milliseconds 
22405 milliseconds,195647 milliseconds,5024 milliseconds,4783 milliseconds,13268 milliseconds
13782 milliseconds,8398 milliseconds,3128 milliseconds,5227 milliseconds,2326 milliseconds
2241 milliseconds,5256 milliseconds,9960 milliseconds,6453 milliseconds,3642 milliseconds
159866 milliseconds,34348 milliseconds,12233 milliseconds,10260 milliseconds,8386 milliseconds
64355 milliseconds,32844 milliseconds,4830 milliseconds,11648 milliseconds,5572 milliseconds
12813 milliseconds,3599 milliseconds,2853 milliseconds,7591 milliseconds,3839 milliseconds
3279 milliseconds,7591 milliseconds,4308 milliseconds,3648 milliseconds,6375 milliseconds
11064 milliseconds,14553 milliseconds,7052 milliseconds,14012 milliseconds,11616 milliseconds
5316 milliseconds,5957 milliseconds,6741 milliseconds,10426 milliseconds,14824 milliseconds
10351 milliseconds,16871 milliseconds,4334 milliseconds,16143 milliseconds,15174 milliseconds
7204 milliseconds,4787 milliseconds,6250 milliseconds,10700 milliseconds,6339 milliseconds
201185 milliseconds,36243 milliseconds,6827 milliseconds,7735 milliseconds,6161 milliseconds
51583 milliseconds,92190 milliseconds,21895 milliseconds,15148 milliseconds,9107 milliseconds
4916 milliseconds,16078 milliseconds,5712 milliseconds,15941 milliseconds,8038 milliseconds
5955 milliseconds,1357 milliseconds,6238 milliseconds,4125 milliseconds,3877 milliseconds
24502 milliseconds,14594 milliseconds,2995 milliseconds,2787 milliseconds,4591 milliseconds
21321 milliseconds,6558 milliseconds,2884 milliseconds,1823 milliseconds,3941 milliseconds
22333 milliseconds,6772 milliseconds,1372 milliseconds,2634 milliseconds,1800 milliseconds
16150 milliseconds,11142 milliseconds,3909 milliseconds,2510 milliseconds,4167 milliseconds
57508 milliseconds,9015 milliseconds,3360 milliseconds,6401 milliseconds,2432 milliseconds
2344 milliseconds,3202 milliseconds,16097 milliseconds,4111 milliseconds,1578 milliseconds
43376 milliseconds,7312 milliseconds,5862 milliseconds,7490 milliseconds,3389 milliseconds
22476 milliseconds,14288 milliseconds,1981 milliseconds,54599 milliseconds,760 milliseconds
9655 milliseconds,6195 milliseconds,5461 milliseconds,2843 milliseconds,4971 milliseconds
43211 milliseconds,12598 milliseconds,13122 milliseconds,2600 milliseconds,2250 milliseconds
23136 milliseconds,25972 milliseconds,8358 milliseconds,3739 milliseconds,2699 milliseconds
16311 milliseconds,5424 milliseconds,1631 milliseconds,1936 milliseconds,2286 milliseconds
17783 milliseconds,6743 milliseconds,1878 milliseconds,7039 milliseconds,3246 milliseconds
8184 milliseconds,7591 milliseconds,6797 milliseconds,3984 milliseconds,4670 milliseconds
20103 milliseconds,14284 milliseconds,6125 milliseconds,2758 milliseconds,8370 milliseconds
41957 milliseconds,8911 milliseconds,2123 milliseconds,2152 milliseconds,6736 milliseconds
20655 milliseconds,9452 milliseconds,2904 milliseconds,6093 milliseconds,6750 milliseconds
34715 milliseconds,6686 milliseconds,2164 milliseconds,2110 milliseconds,2914 milliseconds
25801 milliseconds,42497 milliseconds,8453 milliseconds,5619 milliseconds,5353 milliseconds
10581 milliseconds,5756 milliseconds,2001 milliseconds,3779 milliseconds,5343 milliseconds
9787 milliseconds,9787 milliseconds,1297 milliseconds,2542 milliseconds,2047 milliseconds
