Default List,Default Card,Redesigned List,Redesigned Card,Carousel
4585.0,9220.0,1481.0,6057.0,6829.0
13782.0,8398.0,3128.0,5227.0,2326.0
2241.0,5256.0,9960.0,6453.0,3642.0
12813.0,3599.0,2853.0,7591.0,3839.0
3279.0,7591.0,4308.0,3648.0,6375.0
7204.0,4787.0,6250.0,10700.0,6339.0
5955.0,1357.0,6238.0,4125.0,3877.0
24502.0,14594.0,2995.0,2787.0,4591.0
21321.0,6558.0,2884.0,1823.0,3941.0
22333.0,6772.0,1372.0,2634.0,1800.0
16150.0,11142.0,3909.0,2510.0,4167.0
9655.0,6195.0,5461.0,2843.0,4971.0
16311.0,5424.0,1631.0,1936.0,2286.0
17783.0,6743.0,1878.0,7039.0,3246.0
8184.0,7591.0,6797.0,3984.0,4670.0
20103.0,14284.0,6125.0,2758.0,8370.0
20655.0,9452.0,2904.0,6093.0,6750.0
34715.0,6686.0,2164.0,2110.0,2914.0
10581.0,5756.0,2001.0,3779.0,5343.0
9787.0,9787.0,1297.0,2542.0,2047.0
