DLTask2,DCTask2,RLTask2,RCTask2,CTask2
0.25,0.25,1,0.5,1
0.1428571429,0.5,1,1,1
0.05555555556,0.07142857143,1,0.25,1
0.3333333333,1,1,0.5,1
0.125,0.5,0.5,1,1
1,1,1,1,1
0.25,1,1,0.1,1
1,1,1,0.3333333333,1
0.5,1,1,1,1
1,1,1,1,1
0.5,0.1666666667,1,0.5,1
1,0.5,1,1,1
0.07692307692,0.5,1,1,1
0.03571428571,1,1,1,1
0.1111111111,0.1666666667,1,0.1428571429,1
1,0.25,1,1,0.5
0.1111111111,0.25,0.25,0.1,1
0.3333333333,0.5,1,0.2,1
0.03703703704,0.2,0.2,0.1,1
0.1428571429,0.3333333333,1,1,1
0.04545454545,0.3333333333,1,0.25,1
1,0.5,1,1,0.3333333333
1,1,1,0.5,1
1,1,1,1,1
0.05882352941,0.5,1,1,1
1,1,1,1,1
0.3333333333,0.1666666667,1,0.1111111111,1
1,0.25,0.5,0.5,0.3333333333
0.3333333333,0.5,1,1,0.3333333333
0.3333333333,1,1,1,0.5
0.5,0.5,1,0.5,1
0.3333333333,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,0.3333333333,1
1,1,1,1,1
0.3333333333,1,1,1,1
0.1428571429,0.25,1,0.5,1
0.2,1,0.3333333333,1,1
0.3333333333,1,1,1,1
0.2,0.5,1,0.25,1
1,0.5,1,1,1
