DLTask1,DCTask1,RLTask1,RCTask1,CTask1
4585 milliseconds,9220 milliseconds,1481 milliseconds,6057 milliseconds,6829 milliseconds
1247 milliseconds,9587 milliseconds,4507 milliseconds,7369 milliseconds,18039 milliseconds
112068 milliseconds,4566 milliseconds,4184 milliseconds,5554 milliseconds,3156 milliseconds
6991 milliseconds,18855 milliseconds,4483 milliseconds,5954 milliseconds,5923 milliseconds
8818 milliseconds,24423 milliseconds,4818 milliseconds,12067 milliseconds,11761 milliseconds
14566 milliseconds,6751 milliseconds,1830 milliseconds,12981 milliseconds,15037 milliseconds 
22405 milliseconds,195647 milliseconds,5024 milliseconds,4783 milliseconds,13268 milliseconds
13782 milliseconds,8398 milliseconds,3128 milliseconds,5227 milliseconds,2326 milliseconds
2241 milliseconds,5256 milliseconds,9960 milliseconds,6453 milliseconds,3642 milliseconds
159866 milliseconds,34348 milliseconds,12233 milliseconds,10260 milliseconds,8386 milliseconds
64355 milliseconds,32844 milliseconds,4830 milliseconds,11648 milliseconds,5572 milliseconds
12813 milliseconds,3599 milliseconds,2853 milliseconds,7591 milliseconds,3839 milliseconds
3279 milliseconds,7591 milliseconds,4308 milliseconds,3648 milliseconds,6375 milliseconds
11064 milliseconds,14553 milliseconds,7052 milliseconds,14012 milliseconds,11616 milliseconds
5316 milliseconds,5957 milliseconds,6741 milliseconds,10426 milliseconds,14824 milliseconds
10351 milliseconds,16871 milliseconds,4334 milliseconds,16143 milliseconds,15174 milliseconds
7204 milliseconds,4787 milliseconds,6250 milliseconds,10700 milliseconds,6339 milliseconds
201185 milliseconds,36243 milliseconds,6827 milliseconds,7735 milliseconds,6161 milliseconds
51583 milliseconds,92190 milliseconds,21895 milliseconds,15148 milliseconds,9107 milliseconds
4916 milliseconds,16078 milliseconds,5712 milliseconds,15941 milliseconds,8038 milliseconds
5955 milliseconds,1357 milliseconds,6238 milliseconds,4125 milliseconds,3877 milliseconds
