DLTask4,DCTask4,RLTask4,RCTask4,CTask4
11509 milliseconds,5062 milliseconds,1931 milliseconds,3608 milliseconds,3003 milliseconds
13978 milliseconds,3796 milliseconds,1795 milliseconds,4194 milliseconds,1496 milliseconds
7435 milliseconds,6924 milliseconds,1059 milliseconds,3311 milliseconds,1103 milliseconds
9409 milliseconds,6689 milliseconds,2860 milliseconds,7634 milliseconds,2046 milliseconds
5706 milliseconds,4948 milliseconds,1497 milliseconds,4057 milliseconds,2623 milliseconds
21500 milliseconds,8305 milliseconds,3401 milliseconds ,7488 milliseconds,3739 milliseconds
62146 milliseconds,4397 milliseconds,2082 milliseconds,2175 milliseconds,2174 milliseconds
10472 milliseconds,4694 milliseconds,1483 milliseconds,3686 milliseconds,2764 milliseconds
5692 milliseconds,4700 milliseconds,4153 milliseconds,5822 milliseconds,2511 milliseconds
8917 milliseconds,9216 milliseconds,2390 milliseconds,4464 milliseconds,1680 milliseconds
15539 milliseconds,15322 milliseconds,2384 milliseconds,3778 milliseconds,18140 milliseconds
4553 milliseconds,2679 milliseconds,878 milliseconds,1813 milliseconds,1207 milliseconds
5767 milliseconds,4791 milliseconds,3207 milliseconds,3487 milliseconds,1200 milliseconds
7745 milliseconds,15649 milliseconds,13292 milliseconds,11163 milliseconds,23749 milliseconds
10899 milliseconds,10064 milliseconds,9758 milliseconds,2196 milliseconds,5242 milliseconds
13263 milliseconds,6449 milliseconds,2320 milliseconds,3471 milliseconds,1541 milliseconds
9115 milliseconds,8105 milliseconds,2270 milliseconds,7984 milliseconds,1723 milliseconds
5716 milliseconds,4206 milliseconds,1629 milliseconds,1141 milliseconds,1915 milliseconds
50373 milliseconds,37695 milliseconds,5333 milliseconds,7672 milliseconds,5094 milliseconds
14302 milliseconds,5004 milliseconds,4142 milliseconds,3486 milliseconds,3340 milliseconds
10493 milliseconds,9405 milliseconds,998 milliseconds,2369 milliseconds,1455 milliseconds
